dataset,max_data_num,gamma,tau,value
WMT19,204800,3,1,0.9733265731376428
WMT19,3200,3,2,0.6161942854220225
WMT19,6400,3,2,0.7194299982614046
WMT19,12800,3,2,0.8503162893595646
WMT19,25600,3,2,0.9207105821426166
WMT19,51200,3,2,0.9761805635107246
WMT19,102400,3,2,0.9573490416840428
WMT19,204800,3,2,0.9672374750582614
WMT19,3200,3,3,0.6364487673696939
WMT19,6400,3,3,0.7081288540683391
WMT19,12800,3,3,0.8138740214615054
WMT19,25600,3,3,0.9149036099353164
WMT19,51200,3,3,0.9793354236085852
WMT19,102400,3,3,1.006318007741307
WMT19,204800,3,3,0.9566889381027618
WMT19,3200,3,4,0.6166752759848895
WMT19,6400,3,4,0.7218752387153896
WMT19,12800,3,4,0.8041896465514284
WMT19,25600,3,4,0.9021495123719852
WMT19,51200,3,4,0.9538735192951462
WMT19,102400,3,4,0.9590808127994748
WMT19,204800,3,4,1.0039517252789754
WMT19,3200,3,5,0.6348553406658
WMT19,6400,3,5,0.7619562406296846
WMT19,12800,3,5,0.7917583592858908
WMT19,25600,3,5,0.848155196647139
WMT19,51200,3,5,0.9534805277628828
WMT19,102400,3,5,0.9843743900559696
WMT19,204800,3,5,0.98468265800917
WMT19,3200,4,1,0.5959826703850158
WMT19,6400,4,1,0.7270687864335225
WMT19,12800,4,1,0.788660991990322
WMT19,25600,4,1,0.9368776359667316
WMT19,51200,4,1,1.0015427712101954
WMT19,102400,4,1,0.9836925176393928
WMT19,204800,4,1,1.0014165512598532
WMT19,3200,4,2,0.5889660717071593
WMT19,6400,4,2,0.6913269905130743
WMT19,12800,4,2,0.811796788222797
WMT19,25600,4,2,0.8884391684225367
WMT19,51200,4,2,0.9812944337058672
WMT19,102400,4,2,0.9650132083116504
WMT19,204800,4,2,0.962564937590684
WMT19,3200,4,3,0.5722068099296812
WMT19,6400,4,3,0.6816269012326955
WMT19,12800,4,3,0.8112835090096346
WMT19,25600,4,3,0.8746451412753697
WMT19,51200,4,3,0.9797077235025846
WMT19,102400,4,3,1.014188022520056
WMT19,204800,4,3,0.9855987679315996
WMT19,3200,4,4,0.5913043989762413
WMT19,6400,4,4,0.7066855605961765
WMT19,12800,4,4,0.7533614747633761
WMT19,25600,4,4,0.8391123348290479
WMT19,51200,4,4,0.9319299759810888
WMT19,102400,4,4,0.9765357941551626
WMT19,204800,4,4,0.9798282093082746
WMT19,3200,4,5,0.5750735051603035
WMT19,6400,4,5,0.6857802735792388
WMT19,12800,4,5,0.7097573877368193
WMT19,25600,4,5,0.8256971074786673
WMT19,51200,4,5,0.917308165446926
WMT19,102400,4,5,0.9723360547890666
WMT19,204800,4,5,1.0097640784738953
WMT19,3200,5,1,0.5429572888969068
WMT19,6400,5,1,0.6324169044635927
WMT19,12800,5,1,0.7400256321061034
WMT19,25600,5,1,0.8904515949988013
WMT19,51200,5,1,0.9565402961757716
WMT19,102400,5,1,0.954621167922584
WMT19,204800,5,1,0.9804722127612452
WMT19,3200,5,2,0.5857547367496437
WMT19,6400,5,2,0.6915643857659409
WMT19,12800,5,2,0.7788771286895071
WMT19,25600,5,2,0.8793338628579155
WMT19,51200,5,2,0.9425342320496752
WMT19,102400,5,2,0.9756160153976282
WMT19,204800,5,2,1.018131312006015
WMT19,3200,5,3,0.5709251486856598
WMT19,6400,5,3,0.6448523353716104
WMT19,12800,5,3,0.7371960892106316
WMT19,25600,5,3,0.8728016625401469
WMT19,51200,5,3,0.900796430247012
WMT19,102400,5,3,0.997755125878826
WMT19,204800,5,3,0.9807150728894992
WMT19,3200,5,4,0.5297705258783042
WMT19,6400,5,4,0.6494358181540282
WMT19,12800,5,4,0.7465270487879277
WMT19,25600,5,4,0.8338246217888262
WMT19,51200,5,4,0.9117345516902956
WMT19,102400,5,4,0.99234327940165
WMT19,204800,5,4,0.9607006908953236
WMT19,3200,5,5,0.5511955980378932
WMT19,6400,5,5,0.6574103130947924
WMT19,12800,5,5,0.7472039964535809
WMT19,25600,5,5,0.8149492137456136
WMT19,51200,5,5,0.902669645787075
WMT19,102400,5,5,0.9116255341731548
WMT19,204800,5,5,0.958541359503941
Wikitext,3200,3,1,0.6138767449501097
Wikitext,6400,3,1,0.7317814397536568
Wikitext,12800,3,1,0.8022105095963918
Wikitext,25600,3,1,0.9251654190766933
Wikitext,51200,3,1,0.9805125387139688
Wikitext,102400,3,1,0.9540731257819308
Wikitext,204800,3,1,0.9785241676731852
Wikitext,3200,3,2,0.6492825240028053
Wikitext,6400,3,2,0.7428142936545267
Wikitext,12800,3,2,0.8466022990603903
Wikitext,25600,3,2,0.9642530863503812
Wikitext,51200,3,2,1.0022206099732325
Wikitext,102400,3,2,0.9630234274284972
Wikitext,204800,3,2,0.9702722192359872
Wikitext,3200,3,3,0.6283770927015113
Wikitext,6400,3,3,0.7355603274540687
Wikitext,12800,3,3,0.8171201507700558
Wikitext,25600,3,3,0.8734703840362646
Wikitext,51200,3,3,0.9615226186056298
Wikitext,102400,3,3,1.0067198153766113
Wikitext,204800,3,3,0.999826272436749
Wikitext,3200,3,4,0.5997507905329219
Wikitext,6400,3,4,0.7296385257696782
Wikitext,12800,3,4,0.7835332555569631
Wikitext,25600,3,4,0.8669657865461119
Wikitext,51200,3,4,0.9801278470897185
Wikitext,102400,3,4,1.0120851976624936
Wikitext,204800,3,4,0.9770262076493922
Wikitext,3200,3,5,0.6002908011386568
Wikitext,6400,3,5,0.7048325048996491
Wikitext,12800,3,5,0.7874157234832716
Wikitext,25600,3,5,0.8870889873394023
Wikitext,51200,3,5,0.9994507286041772
Wikitext,102400,3,5,0.9907229520230586
Wikitext,204800,3,5,0.9829323131272713
Wikitext,3200,4,1,0.5836691458148346
Wikitext,6400,4,1,0.6812830639703116
Wikitext,12800,4,1,0.7886114274070387
Wikitext,25600,4,1,0.9210295195782144
Wikitext,51200,4,1,0.9759185293379736
Wikitext,102400,4,1,0.9757660649799432
Wikitext,204800,4,1,0.9736518934988028
Wikitext,3200,4,2,0.5572239636146091
Wikitext,6400,4,2,0.6959666935790123
Wikitext,12800,4,2,0.8365327034190853
Wikitext,25600,4,2,0.8809284730602929
Wikitext,51200,4,2,0.9711505101278844
Wikitext,102400,4,2,0.9777434878947084
Wikitext,204800,4,2,0.971892536672809
Wikitext,3200,4,3,0.5757317299208737
Wikitext,6400,4,3,0.703330961788874
Wikitext,12800,4,3,0.7647349768062013
Wikitext,25600,4,3,0.8484905348847813
Wikitext,51200,4,3,0.9818066272883594
Wikitext,102400,4,3,0.9781999175591513
Wikitext,204800,4,3,1.0173579060334077
Wikitext,3200,4,4,0.627625922296543
Wikitext,6400,4,4,0.6753326724799874
Wikitext,12800,4,4,0.7738753938946362
Wikitext,25600,4,4,0.8193713692924638
Wikitext,51200,4,4,0.9050332736059348
Wikitext,102400,4,4,0.979281163680896
Wikitext,204800,4,4,0.99094183294579
Wikitext,3200,4,5,0.593467999648993
Wikitext,6400,4,5,0.7005547671531711
Wikitext,12800,4,5,0.7695613221479487
Wikitext,25600,4,5,0.8055383670040128
Wikitext,51200,4,5,0.8945979765483157
Wikitext,102400,4,5,0.9775006521106504
Wikitext,204800,4,5,0.9983921270948504
Wikitext,3200,5,1,0.5218276313721996
Wikitext,6400,5,1,0.6531523933910275
Wikitext,12800,5,1,0.7673710502337414
Wikitext,25600,5,1,0.872294138475288
Wikitext,51200,5,1,0.9468362210870854
Wikitext,102400,5,1,0.983961329793712
Wikitext,204800,5,1,0.9986532760159428
Wikitext,3200,5,2,0.5521198484485058
Wikitext,6400,5,2,0.6835843180529252
Wikitext,12800,5,2,0.7544130710615641
Wikitext,25600,5,2,0.8953007525905781
Wikitext,51200,5,2,0.946453569049903
Wikitext,102400,5,2,0.964212628287574
Wikitext,204800,5,2,0.9885476008865344
Wikitext,3200,5,3,0.5674585696097038
Wikitext,6400,5,3,0.668043030264393
Wikitext,12800,5,3,0.7399106942483585
Wikitext,25600,5,3,0.8328681740698326
Wikitext,51200,5,3,0.9072170060995736
Wikitext,102400,5,3,0.967510196422992
Wikitext,204800,5,3,0.9693927649508972
Wikitext,3200,5,4,0.5231326062009337
Wikitext,6400,5,4,0.6432153334796495
Wikitext,12800,5,4,0.7757513892066891
Wikitext,25600,5,4,0.8399647545434247
Wikitext,51200,5,4,0.9126170744638036
Wikitext,102400,5,4,0.974298045829092
Wikitext,204800,5,4,1.0062267526372504
Wikitext,3200,5,5,0.5287578400043206
Wikitext,6400,5,5,0.6404144029120686
Wikitext,12800,5,5,0.7591140596535121
Wikitext,25600,5,5,0.8323651089844418
Wikitext,51200,5,5,0.8842164258814142
Wikitext,102400,5,5,0.8995434892901077
Wikitext,204800,5,5,0.9603276600103412
